1,TRIV
3,1
5,84
7,1
9,1
11,TRIV
13,TRIV
15,1
17,2
19,1
21,TRIV
23,1
25,3
27,4
29,2
31,TRIV
33,2
35,2
37,3
39,TRIV
41,TRIV
43,5
45,2
47,6
49,9
51,TRIV
53,4
55,5
57,2
59,2
61,TRIV
63,2
65,TRIV
67,3
69,2
71,TRIV
73,7
75,2
77,2
79,3
81,TRIV
83,2
85,3
87,3
89,2
91,TRIV
93,3
95,4
97,5
99,2
101,TRIV
103,363
105,2
107,2
109,3
111,TRIV
113,2
115,61
117,TRIV
119,2
121,TRIV
123,17
125,28
127,3
129,2
131,TRIV
133,3
135,2
137,486
139,5
141,TRIV
143,TRIV
145,3
147,8
