2,1
4,1
6,TRIV
8,1
10,1
12,TRIV
14,TRIV
16,TRIV
18,TRIV
20,2
22,2
24,TRIV
26,TRIV
28,TRIV
30,TRIV
32,2
34,3
36,TRIV
38,4
40,2
42,TRIV
44,2
46,TRIV
48,TRIV
50,4
52,2
54,TRIV
56,TRIV
58,2
60,TRIV
62,2
64,5
66,TRIV
68,2
70,TRIV
72,TRIV
74,2
76,TRIV
78,TRIV
80,3
82,2
84,TRIV
86,TRIV
88,2
90,TRIV
92,2
94,2
96,TRIV
98,TRIV
100,3
102,TRIV
104,2
106,TRIV
108,TRIV
110,2
112,TRIV
114,TRIV
116,TRIV
118,11
120,TRIV
122,5
124,2
126,TRIV
128,2
130,2
132,TRIV
134,2
136,TRIV
138,TRIV
140,TRIV
142,104
144,TRIV
146,TRIV
148,2
150,TRIV
152,3
154,TRIV
156,TRIV
158,2
160,2
162,TRIV
164,2
166,TRIV
168,TRIV
170,2
172,2
174,TRIV
176,TRIV
178,2
180,TRIV
182,TRIV
184,2
186,TRIV
188,5
190,2
192,TRIV
194,3
196,TRIV
198,TRIV
200,2
202,2
204,TRIV
206,TRIV
208,2
210,TRIV
212,2
214,2
216,TRIV
218,2
220,3
222,TRIV
224,TRIV
226,TRIV
228,TRIV
230,2
232,3
234,TRIV
236,TRIV
238,TRIV
240,TRIV
242,2
244,2
246,TRIV
248,2
250,2
252,TRIV
254,3
256,TRIV
258,TRIV
260,2
262,2
264,TRIV
266,TRIV
268,2
270,TRIV
272,5
274,2
276,TRIV
278,2
280,TRIV
282,TRIV
284,2
286,TRIV
288,TRIV
290,2
292,2
294,TRIV
296,TRIV
298,3
300,TRIV
302,2
304,2
306,TRIV
308,TRIV
310,2
312,TRIV
314,2
316,TRIV
318,TRIV
320,3
322,TRIV
324,TRIV
326,TRIV
328,2
330,TRIV
332,2
334,2
336,TRIV
338,2
340,2
342,TRIV
344,2
346,TRIV
348,TRIV
350,TRIV
352,2
354,TRIV
356,TRIV
358,2
360,TRIV
362,2
364,TRIV
366,TRIV
368,2
370,2
372,TRIV
374,2
376,TRIV
378,TRIV
380,2
382,2
384,TRIV
386,TRIV
388,2
390,TRIV
392,TRIV
394,2
396,TRIV
398,2
400,2
402,TRIV
404,2
406,TRIV
408,TRIV
410,2
412,2
414,TRIV
416,TRIV
418,2
420,TRIV
422,2
424,2
426,TRIV
428,2
430,2
432,TRIV
434,TRIV
436,TRIV
438,TRIV
440,3
442,3
444,TRIV
446,TRIV
448,TRIV
450,TRIV
452,7
454,3
456,TRIV
458,3
460,6
462,TRIV
464,4
466,TRIV
468,TRIV
470,5
472,6
474,TRIV
476,TRIV
478,3
480,TRIV
482,3
484,2043
486,TRIV
488,4
490,TRIV
492,TRIV
494,6
496,TRIV
498,TRIV
500,3
502,4
504,TRIV
506,TRIV
508,3
510,TRIV
512,14
514,3
516,TRIV
518,TRIV
520,3
522,TRIV
524,3
526,TRIV
528,TRIV
530,3
532,TRIV
534,TRIV
536,TRIV
538,4
540,TRIV
542,3
544,4
546,TRIV
548,3
550,5
552,TRIV
554,3
556,TRIV
558,TRIV
560,TRIV
562,3
564,TRIV
566,TRIV
568,3
570,TRIV
572,3
574,TRIV
576,TRIV
578,6
580,3
582,TRIV
584,3
586,TRIV
588,TRIV
590,4
592,3
594,TRIV
596,TRIV
598,3
600,TRIV
602,TRIV
604,4
606,TRIV
608,4
610,4
612,TRIV
614,3
616,TRIV
618,TRIV
620,3
622,4
624,TRIV
626,TRIV
628,183
630,TRIV
632,3
634,3
636,TRIV
638,3
640,4
642,TRIV
644,TRIV
646,TRIV
648,TRIV
650,51
652,3
654,TRIV
656,TRIV
658,TRIV
660,TRIV
662,3
664,3
666,TRIV
668,4
670,4
672,TRIV
674,5
676,TRIV
678,TRIV
680,3
682,4
684,TRIV
686,TRIV
688,3
690,TRIV
692,4
694,21
696,TRIV
698,3
700,TRIV
702,TRIV
704,25
706,TRIV
708,TRIV
710,4
712,9
714,TRIV
716,TRIV
718,3
720,TRIV
722,3
724,3
726,TRIV
728,TRIV
730,4
732,TRIV
734,3
736,TRIV
738,TRIV
740,3
742,TRIV
744,TRIV
746,TRIV
748,3
750,TRIV
752,23
754,4
756,TRIV
758,4
760,3
762,TRIV
764,15
766,TRIV
768,TRIV
770,TRIV
772,8
774,TRIV
776,TRIV
778,4
780,TRIV
782,11
784,TRIV
786,TRIV
788,6
790,7
792,TRIV
794,3
796,TRIV
798,TRIV
800,3
802,4
804,TRIV
806,TRIV
808,7
810,TRIV
812,TRIV
814,3
816,TRIV
818,3
820,7
822,TRIV
824,10
826,TRIV
828,TRIV
830,3
832,3
834,TRIV
836,TRIV
838,3
840,TRIV
842,3
844,7
846,TRIV
848,5
850,5
852,TRIV
854,TRIV
856,TRIV
858,TRIV
860,5
862,4
864,TRIV
866,TRIV
868,TRIV
870,TRIV
872,3
874,3
876,TRIV
878,4
