2,1
4,TRIV
6,1
8,1
10,TRIV
12,2
14,4
16,TRIV
18,2
20,2
22,TRIV
24,4
26,TRIV
28,TRIV
30,2
32,2
34,TRIV
36,3
38,2
40,TRIV
42,2
44,3
46,TRIV
48,4
50,10633
52,TRIV
54,3
56,2
58,TRIV
60,2
62,2
64,TRIV
66,2
68,2
70,TRIV
72,2
74,9
76,TRIV
78,TRIV
80,2
82,TRIV
84,3
86,2
88,TRIV
90,2
92,117
94,TRIV
96,2
98,2
100,TRIV
102,2
104,TRIV
106,TRIV
108,2
110,2
112,TRIV
114,3
116,2
118,TRIV
120,7
122,2
124,TRIV
126,2
128,2
130,TRIV
132,2
134,3
136,TRIV
138,2
140,2
142,TRIV
144,3
146,2
148,TRIV
150,2
152,2
154,TRIV
156,TRIV
158,2
160,TRIV
162,2
164,2
166,TRIV
168,3
170,3
172,TRIV
174,4
176,7
178,TRIV
180,3
182,TRIV
184,TRIV
186,3
188,18
190,TRIV
192,37
194,3
196,TRIV
198,3
200,3
202,TRIV
204,3
206,5
208,TRIV
210,3
212,4
214,TRIV
216,5702
218,3
220,TRIV
222,5
224,3
226,TRIV
228,7
230,756
232,TRIV
234,TRIV
236,5
238,TRIV
240,7
242,4
244,TRIV
246,3
248,3
250,TRIV
252,4
254,4
256,TRIV
258,22
260,TRIV
262,TRIV
264,3
266,3
268,TRIV
270,8
272,4
274,TRIV
276,9
278,4
280,TRIV
282,4
284,3
286,TRIV
288,7
290,3
292,TRIV
294,19
296,3
298,TRIV
300,24
